同	B
胞	E
们	S
、	S
朋	B
友	E
们	S
、	S
女	B
士	E
们	S
、	S
先	B
生	E
们	S
：	S

在	S
１	B
９	M
９	M
８	M
年	E
来	B
临	E
之	B
际	E
，	S
我	S
十	B
分	E
高	B
兴	E
地	S
通	B
过	E
中	B
央	E
人	B
民	E
广	B
播	E
电	B
台	E
、	S
中	B
国	E
国	B
际	E
广	B
播	E
电	B
台	E
和	S
中	B
央	E
电	B
视	M
台	E
，	S
向	S
全	B
国	E
各	B
族	E
人	B
民	E
，	S
向	S
香	B
港	E
特	B
别	E
行	B
政	M
区	E
同	B
胞	E
、	S
澳	B
门	E
和	S
台	B
湾	E
同	B
胞	E
、	S
海	B
外	E
侨	B
胞	E
，	S
向	S
世	B
界	E
各	B
国	E
的	S
朋	B
友	E
们	S
，	S
致	B
以	E
诚	B
挚	E
的	S
问	B
候	E
和	S
良	B
好	E
的	S
祝	B
愿	E
！	S

１	B
９	M
９	M
７	M
年	E
，	S
是	S
中	B
国	E
发	B
展	E
历	B
史	E
上	S
非	B
常	E
重	B
要	E
的	S
很	S
不	S
平	B
凡	E
的	S
一	S
年	S
。	S
中	B
国	E
人	B
民	E
决	B
心	E
继	B
承	E
邓	S
小	B
平	E
同	B
志	E
的	S
遗	B
志	E
，	S
继	B
续	E
把	S
建	B
设	E
有	S
中	B
国	E
特	B
色	E
社	B
会	M
主	M
义	E
事	B
业	E
推	B
向	E
前	B
进	E
。	S
中	B
国	E
政	B
府	E
顺	B
利	E
恢	B
复	E
对	S
香	B
港	E
行	B
使	E
主	B
权	E
，	S
并	S
按	B
照	E
“	S
一	B
国	M
两	M
制	E
”	S
、	S
“	S
港	B
人	M
治	M
港	E
”	S
、	S
高	B
度	E
自	B
治	E
的	S
方	B
针	E
保	B
持	E
香	B
港	E
的	S
繁	B
荣	E
稳	B
定	E
。	S
中	B
国	E
共	B
产	M
党	E
成	B
功	E
地	S
召	B
开	E
了	S
第	B
十	M
五	E
次	S
全	B
国	E
代	B
表	M
大	M
会	E
，	S
高	B
举	E
邓	B
小	M
平	M
理	M
论	E
伟	B
大	E
旗	B
帜	E
，	S
总	B
结	E
百	B
年	E
历	B
史	E
，	S
展	B
望	E
新	S
的	S
世	B
纪	E
，	S
制	B
定	E
了	S
中	B
国	E
跨	S
世	B
纪	E
发	B
展	E
的	S
行	B
动	E
纲	B
领	E
。	S

在	S
这	S
一	S
年	S
中	S
，	S
中	B
国	E
的	S
改	B
革	E
开	B
放	E
和	S
现	B
代	M
化	E
建	B
设	E
继	B
续	E
向	B
前	E
迈	B
进	E
。	S
国	B
民	M
经	M
济	E
保	B
持	E
了	S
“	S
高	S
增	B
长	E
、	S
低	S
通	B
胀	E
”	S
的	S
良	B
好	E
发	B
展	E
态	B
势	E
。	S
农	B
业	E
生	B
产	E
再	B
次	E
获	B
得	E
好	S
的	S
收	B
成	E
，	S
企	B
业	E
改	B
革	E
继	B
续	E
深	B
化	E
，	S
人	B
民	E
生	B
活	E
进	B
一	M
步	E
改	B
善	E
。	S
对	B
外	E
经	B
济	E
技	B
术	E
合	B
作	E
与	S
交	B
流	E
不	B
断	E
扩	B
大	E
。	S
民	B
主	E
法	B
制	E
建	B
设	E
、	S
精	B
神	M
文	M
明	E
建	B
设	E
和	S
其	B
他	E
各	B
项	E
事	B
业	E
都	S
有	S
新	S
的	S
进	B
展	E
。	S
我	B
们	E
十	B
分	E
关	B
注	E
最	B
近	E
一	B
个	E
时	B
期	E
一	B
些	E
国	B
家	E
和	S
地	B
区	E
发	B
生	E
的	S
金	B
融	E
风	B
波	E
，	S
我	B
们	E
相	B
信	E
通	B
过	E
这	B
些	E
国	B
家	E
和	S
地	B
区	E
的	S
努	B
力	E
以	B
及	E
有	B
关	E
的	S
国	B
际	E
合	B
作	E
，	S
情	B
况	E
会	S
逐	B
步	E
得	B
到	E
缓	B
解	E
。	S
总	B
的	M
来	M
说	E
，	S
中	B
国	E
改	B
革	E
和	S
发	B
展	E
的	S
全	B
局	E
继	B
续	E
保	B
持	E
了	S
稳	B
定	E
。	S

在	S
这	S
一	S
年	S
中	S
，	S
中	B
国	E
的	S
外	B
交	E
工	B
作	E
取	B
得	E
了	S
重	B
要	E
成	B
果	E
。	S
通	B
过	E
高	B
层	E
互	B
访	E
，	S
中	B
国	E
与	S
美	B
国	E
、	S
俄	B
罗	M
斯	E
、	S
法	B
国	E
、	S
日	B
本	E
等	S
大	B
国	E
确	B
定	E
了	S
双	B
方	E
关	B
系	E
未	B
来	E
发	B
展	E
的	S
目	B
标	E
和	S
指	B
导	E
方	B
针	E
。	S
中	B
国	E
与	S
周	B
边	E
国	B
家	E
和	S
广	B
大	E
发	B
展	M
中	M
国	M
家	E
的	S
友	B
好	E
合	B
作	E
进	B
一	M
步	E
加	B
强	E
。	S
中	B
国	E
积	B
极	E
参	B
与	E
亚	B
太	M
经	M
合	E
组	B
织	E
的	S
活	B
动	E
，	S
参	B
加	E
了	S
东	B
盟	E
—	S
中	S
日	S
韩	S
和	S
中	B
国	E
—	S
东	B
盟	E
首	B
脑	E
非	B
正	M
式	E
会	B
晤	E
。	S
这	B
些	E
外	B
交	E
活	B
动	E
，	S
符	B
合	E
和	B
平	E
与	S
发	B
展	E
的	S
时	B
代	E
主	B
题	E
，	S
顺	B
应	E
世	B
界	E
走	B
向	E
多	B
极	M
化	E
的	S
趋	B
势	E
，	S
对	B
于	E
促	B
进	E
国	B
际	E
社	B
会	E
的	S
友	B
好	E
合	B
作	E
和	S
共	B
同	E
发	B
展	E
作	B
出	E
了	S
积	B
极	E
的	S
贡	B
献	E
。	S

１	B
９	M
９	M
８	M
年	E
，	S
中	B
国	E
人	B
民	E
将	S
满	B
怀	M
信	M
心	E
地	S
开	B
创	E
新	S
的	S
业	B
绩	E
。	S
尽	B
管	E
我	B
们	E
在	S
经	B
济	M
社	M
会	E
发	B
展	E
中	S
还	S
面	B
临	E
不	B
少	E
困	B
难	E
，	S
但	S
我	B
们	E
有	S
邓	B
小	M
平	M
理	M
论	E
的	S
指	B
引	E
，	S
有	S
改	B
革	E
开	B
放	E
近	S
２	B
０	E
年	S
来	S
取	B
得	E
的	S
伟	B
大	E
成	B
就	E
和	S
积	B
累	E
的	S
丰	B
富	E
经	B
验	E
，	S
还	B
有	E
其	B
他	E
的	S
各	B
种	E
有	B
利	E
条	B
件	E
，	S
我	B
们	E
一	B
定	E
能	B
够	E
克	B
服	E
这	B
些	E
困	B
难	E
，	S
继	B
续	E
稳	B
步	M
前	M
进	E
。	S
只	B
要	E
我	B
们	E
进	B
一	M
步	E
解	B
放	M
思	M
想	E
，	S
实	B
事	M
求	M
是	E
，	S
抓	B
住	E
机	B
遇	E
，	S
开	B
拓	M
进	M
取	E
，	S
建	B
设	E
有	S
中	B
国	E
特	B
色	E
社	B
会	M
主	M
义	E
的	S
道	B
路	E
就	S
会	S
越	S
走	S
越	S
宽	B
广	E
。	S

实	B
现	E
祖	B
国	E
的	S
完	B
全	E
统	B
一	E
，	S
是	S
海	B
内	M
外	E
全	B
体	E
中	B
国	E
人	S
的	S
共	B
同	E
心	B
愿	E
。	S
通	B
过	E
中	S
葡	S
双	B
方	E
的	S
合	B
作	E
和	S
努	B
力	E
，	S
按	B
照	E
“	S
一	B
国	M
两	M
制	E
”	S
方	B
针	E
和	S
澳	B
门	E
《	S
基	B
本	M
法	E
》	S
，	S
１	B
９	M
９	M
９	M
年	E
１	B
２	M
月	E
澳	B
门	E
的	S
回	B
归	E
一	B
定	E
能	B
够	E
顺	B
利	E
实	B
现	E
。	S

台	B
